Reading Date,Rainfall (in.)
01/01/2017,0.00
01/02/2017,0.33
01/03/2017,0.10
01/04/2017,0.00
01/05/2017,0.08
01/06/2017,0.00
01/07/2017,0.00
01/08/2017,0.00
01/09/2017,0.00
01/10/2017,0.41
01/11/2017,0.34
01/12/2017,0.24
01/13/2017,0.00
01/14/2017,0.00
01/15/2017,0.00
01/16/2017,0.13
01/17/2017,0.40
01/18/2017,0.00
01/19/2017,0.00
01/20/2017,0.05
01/21/2017,0.00
01/22/2017,0.00
01/23/2017,0.05
01/24/2017,0.00
01/25/2017,0.01
01/26/2017,0.01
01/27/2017,0.00
01/28/2017,0.00
01/29/2017,0.00
01/30/2017,0.03
01/31/2017,0.13
02/01/2017,0.02
02/02/2017,0.00
02/03/2017,0.00
02/04/2017,0.00
02/05/2017,0.00
02/06/2017,0.00
02/07/2017,0.90
02/08/2017,0.00
02/09/2017,0.11
02/10/2017,0.00
02/11/2017,0.02
02/12/2017,0.13
02/13/2017,0.00
02/14/2017,0.02
02/15/2017,0.00
02/16/2017,0.00
02/17/2017,0.00
02/18/2017,0.00
02/19/2017,0.00
02/20/2017,0.00
02/21/2017,0.00
02/22/2017,0.00
02/23/2017,0.01
02/24/2017,0.24
02/25/2017,0.00
02/26/2017,0.00
02/27/2017,0.00
02/28/2017,0.85
03/01/2017,0.54
03/02/2017,0.00
03/03/2017,0.00
03/04/2017,0.00
03/05/2017,0.00
03/06/2017,0.04
03/07/2017,0.22
03/08/2017,0.00
03/09/2017,0.00
03/10/2017,0.00
03/11/2017,0.00
03/12/2017,0.00
03/13/2017,0.04
03/14/2017,0.00
03/15/2017,0.00
03/16/2017,0.00
03/17/2017,0.10
03/18/2017,0.10
03/19/2017,0.00
03/20/2017,0.40
03/21/2017,0.00
03/22/2017,0.00
03/23/2017,0.16
03/24/2017,0.25
03/25/2017,0.00
03/26/2017,0.28
03/27/2017,0.00
03/28/2017,0.00
03/29/2017,0.03
03/30/2017,1.15
03/31/2017,0.00
04/01/2017,0.00
04/02/2017,0.00
04/03/2017,0.24
04/04/2017,0.31
04/05/2017,0.76
04/06/2017,0.28
04/07/2017,0.00
04/08/2017,0.00
04/09/2017,0.00
04/10/2017,0.55
04/11/2017,0.03
04/12/2017,0.00
04/13/2017,0.00
04/14/2017,0.00
04/15/2017,0.02
04/16/2017,0.00
04/17/2017,0.00
04/18/2017,0.00
04/19/2017,0.29
04/20/2017,0.66
04/21/2017,0.00
04/22/2017,0.00
04/23/2017,0.00
04/24/2017,0.00
04/25/2017,0.00
04/26/2017,0.21
04/27/2017,0.05
04/28/2017,0.00
04/29/2017,0.00
04/30/2017,0.55
05/01/2017,0.07
05/02/2017,0.05
05/03/2017,0.00
05/04/2017,0.74
05/05/2017,0.39
05/06/2017,0.00
05/07/2017,0.00
05/08/2017,0.00
05/09/2017,0.00
05/10/2017,0.00
05/11/2017,0.12
05/12/2017,0.00
05/13/2017,0.00
05/14/2017,0.00
05/15/2017,0.00
05/16/2017,0.09
05/17/2017,0.00
05/18/2017,0.50
05/19/2017,0.00
05/20/2017,0.14
05/21/2017,1.28
05/22/2017,0.00
05/23/2017,0.03
05/24/2017,0.11
05/25/2017,0.13
05/26/2017,0.00
05/27/2017,0.00
05/28/2017,0.15
05/29/2017,0.05
05/30/2017,0.00
05/31/2017,0.00
06/01/2017,0.00
06/02/2017,0.00
06/03/2017,0.00
06/04/2017,0.00
06/05/2017,0.00
06/06/2017,0.00
06/07/2017,0.00
06/08/2017,0.00
06/09/2017,0.03
06/10/2017,0.00
06/11/2017,0.00
06/12/2017,0.00
06/13/2017,0.00
06/14/2017,0.00
06/15/2017,0.05
06/16/2017,0.00
06/17/2017,0.00
06/18/2017,0.01
06/19/2017,0.02
06/20/2017,0.09
06/21/2017,0.00
06/22/2017,0.73
06/23/2017,0.05
06/24/2017,0.00
06/25/2017,0.00
06/26/2017,0.02
06/27/2017,0.00
06/28/2017,0.00
06/29/2017,0.00
06/30/2017,0.49
07/01/2017,0.00
07/02/2017,0.02
07/03/2017,0.08
07/04/2017,0.00
07/05/2017,0.00
07/06/2017,0.00
07/07/2017,1.69
07/08/2017,0.00
07/09/2017,0.00
07/10/2017,0.82
07/11/2017,0.12
07/12/2017,0.29
07/13/2017,0.32
07/14/2017,0.00
07/15/2017,0.00
07/16/2017,0.00
07/17/2017,0.00
07/18/2017,0.00
07/19/2017,0.00
07/20/2017,0.00
07/21/2017,0.00
07/22/2017,0.02
07/23/2017,0.00
07/24/2017,0.00
07/25/2017,0.00
07/26/2017,0.00
07/27/2017,0.00
07/28/2017,0.00
07/29/2017,0.00
07/30/2017,0.00
07/31/2017,0.00
08/01/2017,0.00
08/02/2017,0.00
08/03/2017,0.11
08/04/2017,0.13
08/05/2017,0.00
08/06/2017,0.03
08/07/2017,0.00
08/08/2017,0.00
08/09/2017,0.00
08/10/2017,0.00
08/11/2017,0.02
08/12/2017,0.00
08/13/2017,0.00
08/14/2017,0.00
08/15/2017,0.40
08/16/2017,0.00
08/17/2017,0.89
08/18/2017,0.00
08/19/2017,0.00
08/20/2017,0.00
08/21/2017,0.00
08/22/2017,0.03
08/23/2017,0.00
08/24/2017,0.00
08/25/2017,0.00
08/26/2017,0.00
08/27/2017,0.00
08/28/2017,0.47
08/29/2017,1.45
08/30/2017,0.00
08/31/2017,0.00
09/01/2017,0.00
09/02/2017,0.02
09/03/2017,0.00
09/04/2017,0.67
09/05/2017,0.00
